code,partners
1289591,magcor1:88:63 brosha1:60:2 auisha1:59:0 chisha1:58:0 boisha1:57:0 caisha2:56:0 rofsha1:51:2 blfcor1:46:8 bancor1:43:0 capcor1:43:4 eursha1:39:0 sposha1:38:4 doccor:38:0 relcor1:37:0 piisha1:37:0 grecor:36:5 bracor:35:0 piecor1:35:0 refcor:33:0 japcor1:33:0 pelcor:33:0 soccor1:31:0 neocor:30:12 libcor1:29:0
1573649,caclar1:53:0 flalar1:48:0 gillar1:43:0 monlar2:43:0 whtlar1:42:0 benbus1:42:0 frilar1:40:0 latlar1:40:0 sinbus6:39:0 willar1:37:0 piblar3:35:0 sablar2:34:0 faclar8:32:0 dunlar5:32:0 elblar1:32:0 ferlar2:32:0 karlar2:31:0 ashcis1:30:100 y00415:29:0 duslar1:29:0 crelar1:29:0 sunlar1:28:0 sphlar1:28:0 shclar1:28:0
369157,shbcuc1:90:44 hobcuc1:67:27 viocuc1:65:8 rtbcuc1:55:0 comcic4:54:0 asecuc1:52:0 klacuc1:50:0 yetcuc1:49:0 afecuc1:46:0 didcuc1:46:0 lobcuc1:46:0 blecuc1:44:0 babcuc2:33:2 vartri1:32:2 placuc1:32:6 indcus1:31:2 brucuc1:29:2 whttre3:29:2 phidrc1:29:0 asidrc3:28:0 rufsht1:28:2 asidrc2:27:0 placuc3:27:0 indcuc1:27:2
979914,riwfin1:61:17 cincon1:61:17 gytwaf1:54:9 mccfin1:54:0 bowfin1:54:9 cbmfin1:54:0 rucspa1:53:4 orhtan1:52:0 cowfin1:52:0 paltan1:52:0 cintan1:52:0 whbtan1:52:0 grpfin1:51:0 bcwfin2:51:0 crbcan2:51:9 bbifin1:51:0 bubtan1:51:0 ptpfin1:51:0 rbifin1:51:0 grywaf1:51:0 slatan2:51:0 batsee1:50:0 gycfin1:50:0 btsfin1:50:0 gobsal1:48:9 grasal3:48:9 dorcht1:45:9 crwcin1:43:9
abbbab1,horbab2:62:21 sttbab1:54:50 lawbab1:40:0 bubbab1:39:14 stwbab3:38:0 btwbab1:36:0 broill1:35:0 scbill1:35:0 ferbab1:35:0 whcbab1:34:0 putbab1:34:7 sumbab1:34:0 mowbab1:34:0 bkcbab2:33:0 stwbab2:33:0 sulbab1:33:0 bncbab1:33:0 tembab1:33:0 pabill1:32:0 sccbab1:32:0 socbab1:32:7 mouill1:32:0 stwbab1:32:0 rucbab2:31:0
abbboo2,bfoboo:58:0 perboo1:57:0 brnboo:56:0 masboo:52:0 nazboo1:52:0 refboo:49:0 ausgan1:49:0 capgan1:48:0 norgan:45:0 magfri:32:100
abbsta2,stusta1:65:0 natsta1:63:0 kensta1:60:0 shasta2:59:0 magsta1:54:0 sinsta1:54:0 whbsta1:54:0 rensta1:54:0 helmyn1:53:0 sulmyn1:53:0 shtsta1:53:0 whnmyn1:53:0 pawsta1:53:0 prgsta1:52:0 whcsta2:52:0 walsta1:52:0 locmyn1:52:0 sacsta1:52:0 trista1:52:0 atosta1:52:0 apomyn2:52:0 ctgsta1:51:0 golmyn1:51:0 chwsta1:51:0
abbwar1,ybbwar1:75:14 bfbwar1:67:0 pabwar1:66:0 yebbuw2:66:0 manbuw1:66:14 fibwar1:63:0 jabwar:61:0 ccbwar1:59:0 butwar1:58:14 phbwar1:58:0 asistu1:55:0 gysbuw1:53:0 mouwar2:53:14 rucwar:52:14 cetwar1:51:0 yebwar1:50:0 rufwar1:50:0 ructes1:49:0 timstu1:49:0 brbwar1:48:0 blfwar1:48:0 sttful2:46:14 javtes1:45:0 borstu1:45:0 blsflo1:43:14
abcwin1,rfcwin1:71:0 ducwin1:56:0 afffin:53:0 zebwax2:52:0 rebfir2:52:0 grbtwi1:51:0 moufir1:50:0 reefir1:50:0 fabwax1:50:0 orwpyt1:50:0 crrwax1:50:0 swewax1:50:0 snmmun1:50:0 yebwax2:49:0 redava:49:0 pettwi1:49:0 jamfir1:49:0 brotwi1:49:0 pittwi1:49:0 comwax:49:0 viewax1:49:0 purgre2:49:0 beafir1:48:0 quailf1:48:0
abdsto1,blasto1:77:60 stosto1:60:0 wonsto1:59:0 afrope1:53:6 whisto1:50:0 magsto1:50:0 sabsto1:49:6 spwgoo1:49:3 oristo1:47:0 lesadj1:45:0 asiope1:42:0 marsto1:42:6 bunibi1:41:3 paisto1:40:0 libher:39:1 triher:38:4 reccra1:38:3 purher1:38:3 yebsto1:38:1 demcra1:38:3 hoocro1:36:1 blnsto1:36:0 jabiru:36:0 woosto:35:0
abecis1,stocis1:74:33 wincis5:63:0 clscis1:63:0 zitcis1:63:0 tincis1:62:33 crocis1:61:0 blncis1:60:0 clocis1:60:0 paccis1:60:0 tincis3:60:0 waicis3:60:0 wincis3:59:0 wincis2:59:0 wiscis1:59:0 wincis4:59:0 wincis6:59:0 repcis1:58:0 grycis1:58:0 pepcis1:58:0 carcis1:58:0 gohcis1:57:0 sifcis1:57:0 huncis1:57:33 chicis1:56:0
