common_name_ar




























باشق اوراسي






جدجد المنازل الأوربي

فهد

زرزور خمريُّ الصدر (burmannicus)






زرزور خمريُّ الصدر (leucocephalus)

مينة شائعة
ضفدع الجدجد بلانشارد
ضفدع الجدجد الشمالي
ضفدع الجدجد الجنوبي




هازجة حقل الأرز
هازجة القصب الكبيرة







هازجة قصب بلايث


هازجة قصب البصرة




هازجة أم شارب




هازجة القصب الشرقية


هازجة المستنقعات





هازجة السعد
هازجة القصب الأوروبية


هازجة القصب الصياحة
























طيطوي شائع







































النسر الاسود

إمبالة



كنغر جرذي أصهب

























































































































بط صيني







قبرة هدهدية

قبرة السماء
قبرة شرقية



قُبَّرَةٌ صُبَيْعَاءُ تُرْكِستَانِيةٌ

قُبَّرَةٌ صُبَيْعَاءُ مُتَوسِطيّة


صياد السمك الشائع







ثيتل الهرتبيس
موظ













حجل الشوكار





















سعدان سبخي ألني




















اوزة مصرية


عواء دبي
عواء أحمر اليد
عواء أسود
عواء سبيكس أحمر اليد
عواء بني
عواء غوياني أحمر
عواء مغطى
عواء غواتيمالي أسود
عواء بوليفي أحمر
عواء فنزويلي أحمر








مونيا حمراء








































































قبرة الصحراء موشمة الذنب
قنبرة الصحراء




الحجل الرملي








ضأن بربري












































زَقزَاقٌ إسْكَنْدَرِي

زقزاق قزويني



زَقزَاقٌ أَغْشَى



زقزاق الرمل الكبير

زقزاق الرمل الصغير




زقزاق كلتيزي






بلبول شمالي





حذف كيبي


حذف شتوي


حذف احمر المنقار









خضاري


















علجوم أمريكي



علجوم فاولر




















زُقة افريقية


















اوزة غراء كبيرة
اوزة ربداء




اوزة غراء صغيرة
اوزة فول التايغا


اوزة فول التندرا
























































جشنة الصحراء
جشنة حمراء الحنجرة






جشنة بلايث



جشنة زيتونية الظهر






جُشْنَةٌ نِيكُولْسُونيّة






جشنة الحقول
جشنة ريتشارد

جشنة مصفرة البطن


جشنة طويلة المنقار

جشنة الماء


جشنة الشجر





ظبي أمريكي



















قرد الليل الأزاري
قرد الليل ذو البطن الرمادي

قرد الليل ذو الرأس الأسود
قرد الليل سبيكس
















































نحل العسل الشرقي
نحل العسل الغربي




























فأر الحراج











سمامة صغيرة

سمامة شائعة












سمامة فاتحة





عقاب ذهبية
عقاب بونلي

عقاب ملكية
عقاب السهوب
عقاب صحماء

عقاب سوداء



































درة راساء
























فقمة الفراء الأسترالية
فقمة أنتاركتيكا الفرائية
فقمة الفراء البنية

بلشون ابيض كبير

بلشون رمادي


بلشون عملاق


بلشون الماشية

بلشون ابيض متوسط
بلشون أسود الرأس


بلشون ارجواني


جلم ماء فاتح القدم

جلم الماء كبير
جلم ماء فاحم





بلشون ذهبي






قنبرة الماء















الثرثارة العربية















































































عكبر الماء الأوروبي

خفاش ورقي الانف الثلاثي جيوفروي







بومة قصيرة الأذن


بومة طويلة الأذن










































باز





سعدان عنكبوتي طويل الشعر
سعدان عنكبوتي بيروفي
سعدان عنكبوتي بني الرأس
سعدان عنكبوتي أسود اليد
سعدان عنكبوتي بني
سعدان عنكبوتي أبيض الخد
سعدان عنكبوتي أحمر الوجه
كلب قصير الأذنين








بومة صغيرة


نمس الهور



سنجاب الأرض البربري








