common_name_he







תפוחית שחורת-סנטר




















נץ מצוי






צרצר הבית

ברדלס ערבות

זרזיר בורמזי (בורמזי)



מיינת גדות


זרזיר בורמזי (כתום-חזה)

מיינה מצויה







קנית אורז
קנית אירופית



קנית שחורת-גבה



קנית פינית


קנית בצרה




זמירון




קנית מזרחית

קנית גדות
קנית ביצות





קנית פסים
קנית קטנה


קנית אפריקנית








פנינית נשרית















ביצנית לבנת-בטן
ביצנית נקודה











ירגזי זנבתן












כוס חום













עזנייה שחורה
ברודית משורטטת



































אלקית מצויצת
אלקית דררתית





















































שחרורית אדומת-כנף
























זרזיר סיבירי










מנדרין סיני
מנדרין אמריקני






אלימון

זרעית השדה
זרעית קטנה
עפרוני לבן-כנף

עפרונן אסייתי
עפרונן טורקסטני

עפרונן גמדי

אלקה גדולה
שלדג גמדי







בובאל איילי
אייל קורא













חוגלת סלעים
חוגלה יוונית



חוגלה אדמונית














אלקה גמדית






















יאורית















מיילד




פרושית אדומה







סופית לבנת-חזה









































שרשיר ברזילאי






















עפרוני חכלילי
עפרוני מדבר



קורא אפור-גרון
קורא








עבדקן הרעמה












































חופמי אלכסנדרי

חופמי אסיה



חופמי לבן-פנים



חופמי חוף

חופמי מונגולי



חופמי חום-צווארון
חופמי אפריקני

חופמי אדום-כיפה


חופמי מזרחי

ברווז חד-זנב





שרשיר הכף


שרשיר


שרשיר אדום-מקור









ברכיה
ברווז עקוד-מקור הודי
ברווז שחור אמריקני
ברווז שחור אפריקני


ברווז צהוב-מקור

ברווז עקוד-מקור מזרחי
































נחשון אמריקני
נחשון אסייתי

נחשון אפריקני
















שחפית חומה

אווז לבן-מצח
אווז אפור
אווז קצר-מקור
אווז שלג
אווז קיסרי
אווז ברבורי
אווז קטן
אווז אחו טאיגה
אווז הודי
אווז קנדי
אווז אחו טונדרה



















































פפיון קנרי




פפיון צהוב
פפיון אדום-גרון


פפיון אפריקני



פפיון ערבות
פפיון טונדרה


פפיון זיתי






פפיון הרים (סאהל)
