common_name_hu




lebenyes guán
vöröstorkú mézevő
hegyescsőrű sármánypinty
zsezse
álcsuszka

aranyhátú tüskecsőr







sárga ausztrálposzáta
barna ausztrálposzáta



nyugati mézmadár
keleti mézmadár
tasmán tüskecsőr

madagaszkári karvaly
karvaly
ovampo karvaly
szürkehasú héja
vörösmellű karvaly
csíkos karvaly
vöröshasú szarvascsőrű




nyakörves majna
burmai seregély
szürke majna
bivalymajna
dzsungel majna
hindu menjó
hosszúkontyos majna


feketeszárnyú seregély
pásztormejnó



aranykabátos bülbül


fanning-szigeti nádiposzáta
rozsdás nádiposzáta
nádirigó

tuamotu-szigeteki nádiposzáta
ausztrál nádirigó
keleti foltos nádiposzáta
zöld-foki nádiposzáta
tahiti nádiposzáta
bokorlakó nádiposzáta
berki nádiposzáta
Molnár-nádiposzáta
fokföldi nádiposzáta
eufráteszi nádirigó

mangaia-szigeti nádiposzáta

fülemüle nádiposzáta
fülemülesitke
marqueses-szigeteki nádiposzáta

madagaszkári nádiposzáta

keleti nádirigó
nagycsőrű nádirigó
csíkosfejű nádiposzáta
énekes nádiposzáta

naurui nádiposzáta
rimantara-szigeti nádiposzáta
rodriguesi poszáta
papirusz nádiposzáta
foltos nádiposzáta
cserregő nádiposzáta
seychelle-szigeteki poszáta
Hirse-nádiposzáta
hosszúcsőrű nádirigó
karolina-szigeteki nádiposzáta
henderson-szigeti nádiposzáta
mandzsúriai nádiposzáta
pitcairn-szigeti nádiposzáta




keselyűfejű gyöngytyúk
bajszos halción
maláj halción
mindanaói halción
cseppfoltos halción
celebeszi halción
hegyi halción
kékfarkú minla
rőthomlokú szalagostimália





barnafarkú minla

billegetőcankó
pettyes billegetőcankó
afrikai levéljáró
madagaszkári levéljáró







fehérarcú vöcsök
nyugati vöcsök
őszapó
vörösfejű őszapó
törpecinege
füstös őszapó

himalájai őszapó
fehérarcú őszapó
fehértorkú őszapó
nagy poszátalevélmadár
feketesapkás poszátalevélmadár
feketeszárnyú poszátalevélmadár
smaragd poszátalevélmadár
fűrészbagoly
gatyáskuvik

halványhomlokú bagoly
Ridway-bagoly

hegyi kuvikfecske
szalagos kuvikfecske
kontyos kuvikfecske
ausztrál kuvikfecske
pápua kuvikfecske
új-kaledón kuvikfecske
síksági kuvikfecske

foltos kuvikfecske
barátkeselyű
csíkos vízicsibe






mariana-szigeteki szalangána
himalájai szalangána
seychelle-szigeteki szalangána
mauritiusi szalangána
szalangána
hegyi szalangána
malukui szalangána
karolina-szigeteki szalangána
tahiti szalangána
feketefészkű szalangána
barnaarcú szalangána
csupaszlábú szalangána
marqueses-szigeteki szalangána
salamon-szigeteki szalangána
pápua szalangána
palau-szigeteki szalangána

Atiu-szigeti szalangána
fehérarcú szalangána
ausztrál szalangána
malabári szalangána
egyszínű szalangána
volcano szalangána
fülöp-szigeteki szalangána
andoki sarlósfecske
hegyi sarlósfecske
fehérmellű sarlósfecske
gesztenyehasú karvaly
afrikai karvaly
bóbitás alka
papagájalka
törpealka
bajszos alka







apo nektármadár
hajnani nektármadár
elegáns nektármadár
jávai nektármadár
tűzmellű nektármadár
Gould-nektármadár

tűzfarkú nektármadár


bajszos nektármadár
zöldfarkú nektármadár
szürketorkú nektármadár
fényesszárnyú nektármadár
feketetorkú nektármadár
aranytorkú nektármadár
skarlát nektármadár








kongói páva
fekete túzok
fokföldi túzok


agami
szürkefejű törpepapagáj
Fischer törpepapagája
földieperfejű törpepapagáj
kormosfejű törpepapagáj
álarcos törpepapagáj
narancsfejű törpepapagáj
rózsásfejű törpepapagáj
zöldfejű törpepapagáj
hegyi törpepapagáj
barnaszárnyú gulyajáró



pirosvállú csiröge
háromszínű csiröge
sárgavállú csiröge
fehérmellű gyöngytyúk
fekete gyöngytyúk








kékfarkú fecskekolibri
fecskekolibri

Blanford-pirók


fehérfarkú gébicstirannusz

patagóniai gébicstirannusz


fülöp-szigeteki seregély
bíborhátú seregély
fehérfülű nyávogómadár
vastagcsőrű nyávogómadár


feketefülű nyávogómadár




barnafejű verébsármány
mandarinréce
kisasszonyréce


hosszúcsőrű gyapjasmadár



sarlóscsőrű pacsirta

mezei pacsirta
keleti pacsirta
fehérszárnyú pacsirta
razo-pacsirta



csíkos szikipacsirta

alka
jégmadár

csíkosmellű jégmadár
Blyth-jégmadár
Meninting-jégmadár

Schiller-jégmadár
kobalt jégmadár







szürkearcú alcippe




csíkos bülbül

barnanyakú szirtifogoly
csukár
szirti fogoly
Przevalski-fogoly
arab szirtifogoly
Philby szirtifoglya
vörös fogoly
madagaszkári gyümölcsgalamb
mauritiusi gyümölcsgalamb
seychelles-szigeteki gyümölcsgalamb
comore-szigeteki gyümölcsgalamb
zászlósfarkú tirannusz
kakasfarkú tirannusz
talegallatyúk


tüzesfejű avarrigó
sárgahasú amazon
Ambon-királypapagáj
zöldszárnyú királypapagáj
királypapagáj
alkabukó













szürkearcú bülbül
fehértorkú bülbül

rozsdáshasú bülbül
sápadthasú bülbül




nílusi lúd
réunioni ásólúd
mauritiusi ásólúd














vörösfejű amandina
szalagpinty


tigrispinty
olajzöld asztrild
aranymellű asztrild
egyszínű guvat
Isabella-lápityúk
talaud-szigeteki lápityúk
vörösfarkú lápityúk
fülöp-szigeteki lápityúk
fehérmellű lápityúk


kék magvágó
fehérvállú magvágó
hondurasi amazília
fahéjszínű amazília
rozsdásfarkú amazília
yucatáni amazília
Lesson-amazília
kékhomlokú amazon
pirostükrös amazon
fehérhomlokú amazon
venezuelai amazon
kékfejű amazon
sárgatarkójú amazon
őszi amazon
sárgavállú amazon
vörösfarkú amazon
jamaicai amazon

granadai amazon
Molnár-amazon
kékszakállú amazon
kéksapkás amazon
királyamazon
császáramazon
Kawall-amazon
kubai amazon

katona amazon
sárgahomlokú amazon
sárgafejű amazon
vörösmaszkos amazon
tüzeshomlokú amazon
Tucemán-amazon
kékkoronás amazon
kékmaszkos amazon
galambnyakú amazon
zöldarcú amazon
Puerto Ricó-i amazon
sárgakantáros amazon
amazonasi réce
sárgacsőrű kacika





üstökös kertészmadár
kertészmadár
aranybóbitás kertészmadár
narancsbóbitás kertészmadár
magtörő szövőmadár





angolai bokorpacsirta


sárgaarcú verébsármány
fürjsármány
szöcske verébsármány
homoki pacsirta
sivatagi pacsirta



álarcos sivatagifogoly
fehérfülű sivatagifogoly




hegyesfarkú verébsármány
Leconte-verébsármány
tengerparti verébsármány
Nelson-verébsármány

koronás majna







feketetorkú sármány

Kalkadún-létrafarkú
lápi létrafarkú
szirti létrafarkú
kúposcsőrű létrafarkú
kormos létrafarkú
rövidfarkú létrafarkú







fehértorkú létrafarkú
rozsdás tüskefarkú




princípe-szigeti nektármadár
Newton-nektármadár
Reichenbach-nektármadár










skarlát szövőmadár

széki lile

sztyeppi lile

maori lile



ferdecsőrű lile
jávai lile
sivatagi lile
fehérhomlokú lile
tibeti lile



fokföldi lile
apró lile
pikkelyes lile
vörösfejű lile
Szent Ilona-szigeti lile
madagaszkári lile
barnaszárnyú lile
Wilson-lile
nyílfarkú réce


maori réce
Bahama-réce
Bernier-réce
bantu réce
gesztenyebarna réce

csörgő réce
mexikói réce
kerguelen-szigeteki nyílfarkúréce
piroscsőrű réce
dél-amerikai csörgő réce
floridai réce
déli-georgiai nyílfarkúréce
fehértorkú réce
szürke réce
laysani réce
fülöp-szigeteki réce
madagaszkári réce
Campbell-réce
tőkés réce
foltoscsőrű réce
kormos réce
afrikai fekete réce
szemöldökös réce
mauritiusi réce
sárgacsőrű réce
hawaii réce

afrikai tátogatógólya
ázsiai tátogató gólya




















csuklyás hegyitukán
tarkacsőrű hegyitukán
laposcsőrű hegyitukán
feketecsőrű hegyitukán

fogascsőrű kolibri
surranó bülbül
pápua füttymadár

egyszarvú csája
amerikai kígyónyakúmadár
feketehasú kígyónyakúmadár
ausztrál kígyónyakúmadár
afrikai kígyónyakúmadár
tüzeshasú hegyitangara



azúrszárnyú hegyitangara
tengerkék arara
jácintkék ara
kobaltkék ara
kakukk-szövőmadár


kontyos szarvascsőrű
barna szarvascsőrű

ezüstnoddi
fekete noddi
barna noddi
indiai noddi
nagy lilik
nyári lúd
rövidcsőrű lúd
sarki lúd
császárlúd
kínai hattyúlúd
kis lilik
vetési lúd
indiai lúd
hólúd

ujjas lúd




fokföldi nektármadár


piroscsüngős lebenyesmadár
fahéjszárnyú mézevő

sárgacsüngős lebenyesmadár
kockás mézevő
chatham-szigeteki mézevő
csengőmadár
afrikai függőcinege
erdei függőcinege
fokföldi függőcinege
egérszürke függőcinege
sárga függőcinege
szudáni függőcinege
keleti szarvascsőrű
malabári szarvascsőrű
maláj szarvascsőrű
palawani szarvascsőrű
sulu-szigeteki szarvascsőrű

antillai mangókolibri
