common_name_id
Kolibri dagu-zamrud


Cikrak bambu







Remetuk kelabu





Remetuk papua






















Kerak perut-pucat




Kerak kerbau

Jalak putih













Kerakbasi alis-hitam
















Kerakbasi besar












Kerakbasi ramai










Cekakak-hutan melayu


Cekakak-hutan tunggir-hijau
Cekakak-hutan dada-sisik









Trinil pantai



Kolibri-nona tutul










Cerecet jawa







Cipoh kacat
Cipoh jantung






Atoku gunung
Atoku kalung
Atoko maluku

Atoku besar



Atoku wallacea




Maleo gunung
Maleo waigeo






Walet sarang-putih
Walet gunung
Walet maluku


Walet sarang-hitam

Walet kaki-telanjang


Sitella papua

Walet sarang-lumut




Walet polos
Walet gunung










Sericornis arfak
Tepus-tikus dwiwarna
Sericornis papua
Sericornis kepala-coklat
Sericornis vogelkop
Sericornis paruh-putih



Burung-madu sangihe
Burung-madu gunung






Burung-madu ekor-merah





Burung-madu sepah-raja
Burung-madu ekor-merah


































Seri-rawi punggung-ungu
Seri-rawi rumbai-putih
Seri-rawi tembaga
Seri-rawi tudung-hitam
Mambang venezuela
Mambang ekor-ungu
Mambang ekor-panjang









Jalak filipina
Jalak cina
Burung-kucing kuping-putih



Burung-kucing tutul

























Raja-udang erasia
Raja-udang biru
Raja-udang kalung-biru

Raja-udang meninting





Wergan coklat








Wergan jawa

Kancilan tengkuk-merah


















Nuri-raja ambon
Nuri-raja sayap-kuning















Empuloh janggut


Empuloh ragum

Empuloh irang






















Anis-papua kecil
Anis-papua besar
Pipit benggala



Kareo sulawesi
Kareo talaud
Kareo zaitun

Kareo padi




Kolibri honduras
Kolibri soga
Kolibri ekor-kesumba
Kolibri perut-pirang
Kolibri amazilia







































Namdur dahi-emas
Namdur polos
Namdur jambul-emas









































































Cerek tilil








Cerek jawa
Cerek-pasir besar

Cerek-pasir mongolia





Cerek melayu
Cerek topi-merah


Cerek asia

Itik lancip















Itik benjut
Itik kelabu




Itik kalung



Itik alis































Kolibri paruh-gigi

Burung-cambuk papua



Pecuk-ular asia











Kolibri-rahib tepi-lebar

Enggang klihingan



Camar-angguk hitam
Camar-angguk coklat












Boha wasur



