common_name_lt
Abeilija
Rudaveidė raštuotoji musinukė
Juodaveidė raštuotoji musinukė
Geltonpilvė raštuotoji musinukė
Aburija
margasis medsiurbys
smailiasnapė starta
Paprastasis čimčiakas
Žalioji pita
Plačiauodegis spygliasnapis
Geltonsturplis spygliasnapis
Kalninė gerigona
Tasmaninis spygliasnapis
Vakarinis spygliasnapis
Plonasnapis spygliasnapis
Kalninis spygliasnapis
Dryžasis spygliasnapis
Papuasinis spygliasnapis
Geltonasis spygliasnapis
Rudasis spygliasnapis
Nykštukinis spygliasnapis
Pilkanugaris spygliasnapis
Rudasturplis spygliasnapis
vakarinis smailiasnapis medsiurbys
rytinis smailiasnapis medsiurbys
Tasmaninis serikornis
Acanthoventris drewseni
Madagaskarinis paukštvanagis
Paukštvanagis
Namibinis paukštvanagis
Pilkapilvis vištvanagis
Rausvakrūtis paukštvanagis
Rausvaausis vanagas
Nepalinis aceras
Dryžakrūtė devynbalsė
Naminis svirplys
Spanish House-Cricket
Gepardas
apykaklėtoji maina
kambodžinė maina
pilkoji maina
cimeņmaina
džiunglinė maina
krastu maina
didžioji maina
javinė maina
Vinous-breasted Myna
juodasparnė maina
Paprastoji maina
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
Geltonbruvis rytinis bulbiulis
Narrow-toed Feather-tailed Glider
Raudonkojis krosnius
Polinezinė nendrinukė
Indinė nendrinukė
Didžioji krakšlė
Mangareva Reed Warbler
Atolinė nendrinukė
Australinė nendrinukė
Juodabruvė nendrinukė
Trumpasparnė nendrinukė
Ilgasnapė nendrinukė
Bukasparnė nendrinukė
Sodinė nendrinukė
Naminė nendrinukė
Kapinė nendrinukė
Irakinė krakšlė
Saipan Reed Warbler
Kuko nendrinukė
Moorea Reed Warbler
Lakštingalinė nendrinukė
Laibasnapė nendrinukė
Markesinė nendrinukė
Society Islands Reed Warbler
Madagaskarinė nendrinukė
Aguiguan Reed Warbler
Rytinė nendrinukė
Didžiasnapė nendrinukė
Meldinė nendrinukė
Karklinė nendrinukė
Northern Marquesan Reed Warbler
naūrinė nendrinukė
Rimatarinė nendrinukė
Rodrigesinė nendrinukė
Didžioji nendrinukė
Ežerinė nendrinukė
Mažoji krakšlė
Seišelinė nendrinukė
Kanapinė nendrinukė
Papirusinė nendrinukė
Karolininė nendrinukė
Hendersono nendrinukė
Mandžiūrinė nendrinukė
Pitkerninė nendrinukė
Pagan Reed Warbler
Raibaskruostis mažasis tironas
Baltakaktis mažasis tironas
Akiniuotasis topakulas
Grifinė patarška
Ūsuotasis halcionas
Malajinis halcionas
Mėlynkepuris halcionas
Dėmėtasis halcionas
Sulavesinis halcionas
Karališkasis halcionas
Siva
Rudakaktė aktinodura
Taivaninė aktinodura
Nepalinė aktinodura
Akiniuotoji aktinodura
Juodavainikė aktinodura
Dryžoji aktinodura
Dryžagurklė minla
Junaninė aktinodura
Paprastasis krantinis tilvikas
Dėmėtasis krantinis tilvikas
Afrikinė žakana
Madagaskarinė žakana
Raibasis kolibris
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Forest Chirping Frog
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
Klarko Šiaurės Amerikos kragas
Vakarinis Šiaurės Amerikos kragas
Ilgauodegė zylė
melnrīkles zīlīte
nykštukinė zylė
brūnā zīlīte
pilkagurklė ilgauodegė zylė
melnaču zīlīte
baltvaigu zīlīte
baltrīkles garastīte
Geltonoji jora
Juodakepurė jora
Juodasparnė jora
Alyvinė jora
Amerikinė lututė
Lututė
Bermuda Saw-whet Owl
Geltonkaktė lututė
Ridžvėjaus lututė
Naujosios Gvinėjos pelėdinis varliažiotis
Kalninis pelėdinis varliažiotis
Beneto pelėdinis varliažiotis
Molukinis pelėdinis varliažiotis
Australinis pelėdinis varliažiotis
Rudasis pelėdinis varliažiotis
Naujosios Kaledonijos pelėdinis varliažiotis
Dryžauodegis pelėdinis varliažiotis
Deimantinis pelėdinis varliažiotis
Voleso pelėdinis varliažiotis
Varninis grifas
Juostuotoji švygžda
Impala
Giant Elephant Bird
Raudonskiauterė didžiakojė višta
Auskaruotoji didžiakojė višta
Rufous Bettong
Ameline Swiftlet
Guaminis erodramas
Himalajinis erodramas
Seišelinis erodramas
Mauricinis erodramas
Tunbergo erodramas
Kalninis erodramas
Molukinis erodramas
Karolininis erodramas
Polinezinis erodramas
Didysis erodramas
Filipininis erodramas
Plikakojis erodramas
Markizinis erodramas
Rytinis erodramas
Papuasinis erodramas
Palaujinis erodramas
Sundinis erodramas
Kuko erodramas
Baltasturplis erodramas
Australinis erodramas
Indinis erodramas
Pilkasis erodramas
Vulkaninis erodramas
Vaithedo erodramas
Andinis šeriuotakojis čiurlys
Kalninis šeriuotakojis čiurlys
Baltagurklis šeriuotakojis čiurlys
Rudašonis vanagas
Afrikinis vištvanagis
Kuoduotoji alkelė
Dailiasnapė alkelė
Mažoji alkelė
Ūsuotoji alkelė
Žalsvasis serikornis
