common_name_lv







parastais ķeģis




















zvirbuļu vanags



strīpainais vanags








cimeņmaina

krastu maina




parastā maina







palieņu ķauķis
niedru strazds



melnaču ķauķis
Kaboverdes ķauķis

īsspārnu ķauķis
krūmu ķauķis


Basras ķauķis




rudais ķauķis




austrumu ķauķis

grīšļu ķauķis
purva ķauķis





ceru ķauķis
ezeru ķauķis

prosas ķauķis
skaļais ķauķis


Mandžūrijas ķauķis












zilspārnu minla


Nepālas raibspārnis



bērastes minla
Juņnaņas raibspārnis
upes tilbīte
punktainā tilbīte









baltvaigu dūkuris
slaidais dūkuris
garastīte
melnrīkles zīlīte

brūnā zīlīte

melnaču zīlīte
baltvaigu zīlīte
baltrīkles garastīte




čīgātājapogs
bikšainais apogs













melnais grifs
svītrainais ormanītis







Himalaju svīrīte, Himalaju salangāna
























daglā svīre


cekulainais alciņš
apaļknābja alciņš
punduralks
ragainais alciņš












Guldas nektārputns

sarkanastes nektārputns



zaļastes nektārputns
































sarkansspārnu strazds
trejkrāsu strazds














Himalaju svilpis







bērvaigu strazds
mantijas strazds









rudgalvas zvirbulis
mandarīnpīle
koku pīle






pupuķcīrulis

lauku cīrulis
austrumu cīrulis
baltspārnu cīrulis
Rasu cīrulis
sāls cīrulis

smilšu cīrulis
mazais cīrulis

lielais alks
zivju dzenītis





















berberu irbe
čukora
klinšu irbe
Prževaļska irbe
Arābijas irbe
Filbija irbe
kalnu irbe














mazais alks






















Ēģiptes zoss




















zemeņu žubīte

zebras vasknibis





baltkrūšu ormanītis







Jukatānas kolibri























dzeltengalvas amazone






zaļvaigu amazone
























sienāžu zvirbulis
svītrastes cīrulis
tuksneša cīrulis
rudastes cīrulis


Persijas smilširbe
Arābijas smilširbe




sālieņu zvirbulis
Lekonta zvirbulis
piekrastes zvirbulis
Nelsona zvirbulis









melnrīkles zvirbulis
piecsvītru zvirbulis


































jūras tārtiņš

Kaspijas tārtiņš







tuksneša tārtiņš

Mongolijas tārtiņš
kalnu tārtiņš



ganību tārtiņš




stepes tārtiņš
lielknābja tārtiņš
garkaklis



baltvaigu garkaklis

Kāpzemes krīklis


krīklis


sarkanknābja pīle

Floridas pīle




Filipīnu pīle


meža pīle
raibknābja pīle
sarkankāju pīle





































