common_name_mk







огнено конопјарче




















јастреб врапчар


























полинезиски трскар
индиски трскар
обичен трскар

атолски трскар
австралиски трскар
шареноглав трскар
краткоперјест трскар
тахитски трскар
краткокрил трскар
трскар грмушкар
хавајски трскар
’ртски трскар
ирачки трскар

куковоостровски трскар

славејов трскар
тенкоклун трскар
маркески трскар

мадагаскарски трскар

источен трскар
големоклун трскар
воден трскар
блатен трскар

науруански трскар
риматриски трскар
родригесов трскар
лисест трскар
мал трскар
трскар рогозар
сејшелски трскар
дамчест трскар
папирусен трскар
каролински трскар
хендерсонов трскар
манџурски трскар
питкернски трскар




















речна тринга












дологоопашеста сипка












шумска кукумјавка













црн мршојадец









































































































































полска чучулига









рибарче






















турска еребица камењарка
еребица камењарка



































































































































































































морски пескар























патка ластовичарка








патка берија












дива патка






























































белочелна гуска
дива гуска




мала белочелна гуска
полска гуска



























































полска трепетилка
црвеногушеста трепетилка
























ливадска трепетилка







карпеста трепетилка


шумска трепетилка


























































































































обична пиштарка












сива пиштарка





златен орел
планински орел

царски орел
степски орел



































































голема бела чапја

сива чапја





чапја говедарка





црвена чапја











жолта чапја






камењарче



























































































дебелоклуно гушанче













блатен був


ушест був






















