common_name_sk
kolibrík zelenobradý
pradešan červenolíci
pradešan čiernolíci
pradešan bambusový
morkovec lalôčkový
medárik hnedohrdlý
pinkavka sivá
stehlík čečetka
striežik zelenkavý
ostrozobka hnedochvostá
ostrozobka lúčna
ostrozobka sivá
ostrozobka tasmánska
ostrozobka plavá
ostrozobka štíhlozobá
ostrozobka džungľová
ostrozobka čiarková
ostrozobka bledooká
ostrozobka žltobruchá
ostrozobka hrdzavočelá
ostrozobka kôrarská
ostrozobka popolavá
ostrozobka bútľavinová
peliar hrdzavokrký
peliar tenkozobý
papradníček krovinový
Acanthoventris drewseni
jastrab madagaskarský
jastrab krahulec
jastrab ovambský
jastrab sivobruchý
jastrab hrdzavoprsý
jastrab čiarkový
zobákorožec hrdzavý
skalobežec škvrnitý
svrček domový
Spanish House-Cricket
Gepard
škorec golierikatý
škorec vínovoprsý
škorec dobytčí
škorec chochlatý
škorec džungľový
škorec pobrežný
škorec smútočný
škorec ryžový
škorec bielokrký
škorec čiernokrídly
škorec hnedý
Blanchard's Cricket Frog
Northern Cricket Frog
Southern Cricket Frog
bylbyl zlatolíci
Vakoplch lietavý
plantážnik kakaovníkový
trsteniarik sivý
trsteniarik roľný
trsteniarik veľký
trsteniarik mangarevský
trsteniarik atolový
trsteniarik hnedokrídly
trsteniarik pestrohlavý
trsteniarik krátkokrídly
trsteniarik dýkozobý
trsteniarik tupokrídly
trsteniarik krovinový
trsteniarik tenkozobý
trsteniarik čiernonohý
trsteniarik iracký
trsteniarik saipanský
trsteniarik ostrovný
trsteniarik bambusový
trsteniarik spevavý
trsteniarik tamariškový
trsteniarik šafranový
trsteniarik Forsterov
trsteniarik madagaskarský
trsteniarik aguijanský
trsteniarik východný
trsteniarik veľkozobý
trsteniarik vodný
trsteniarik obyčajný
trsteniarik komako
trsteniarik nauruský
trsteniarik rimatarský
trsteniarik rodrigueský
trsteniarik hnedkavý
trsteniarik malý
trsteniarik bahenný
trsteniarik seychelský
trsteniarik prosový
trsteniarik dlhozobý
trsteniarik karolínsky
trsteniarik svetlý
trsteniarik mandžuský
trsteniarik nespevavý
trsteniarik paganský
moskytár divnonohý
moskytár kostarický
perličkár pazúrnatý
perlička supia
rybárikovec fúzatý
rybárikovec zelenohlavý
rybárikovec modrohlavý
rybárikovec bodkovaný
rybárikovec mníšsky
rybárikovec kráľovský
prúžkavec belasý
prúžkavec húštinový
prúžkavec hôrny
prúžkavec sivohrdlý
prúžkavec okuliarnatý
prúžkavec okrový
prúžkavec škvrnitý
prúžkavec žltkavý
prúžkavec machový
kalužiačik malý
kalužiačik škvrnitý
jakana modročelá
jakana čiernohrdlá
vrchárik jaspisový
Tusked Frog
Cocha Chirping Frog
Paraná Tropical Bullfrog
Forest Chirping Frog
Marbled Tropical Bullfrog
Santa Catarina Tropical Bullfrog
potápka bielolíca
potápka ostrozobá
mlynárka dlhochvostá
mlynárka čiapočkatá
mlynárka trpasličia
mlynárka sivolíca
mlynárka čínska
mlynárka himalájska
mlynárka bielolíca
mlynárka bielohrdlá
jara veľká
jara bielochvostá
jara čiernokrídla
jara zelená
pôtik škripľavý
pôtik kapcavý
pôtik bermudský
pôtik okrový
pôtik pláštikový
lelčík polostrovný
lelčík horský
lelčík jarabý
lelčík fúzatý
lelčík závojový
lelčík veľký
lelčík paitský
lelčík hviezdičkatý
lelčík vlnkovaný
lelčík svetloprsý
sup tmavohnedý
kohútec pásikavý
Impala
vuron obrí
tabon horský
tabon hnedoprsý
Potkanokengura červenkastá
salangána sivobruchá
salangána guamská
salangána himalájska
salangána seychelská
salangána maskarénska
salangána sundská
salangána lastovičia
salangána molucká
salangána mikronézska
salangána čierna
salangána družná
salangána tmavá
salangána holonohá
salangána markézska
salangána melanézska
salangána trojprstá
salangána atolová
salangána jaskyniarka
salangána papraďová
salangána súmračná
salangána sivá
salangána hnedastá
salangána ostrovná
salangána kráterová
salangána horská
vzducholovec belavý
vzducholovec vrchovský
vzducholovec bielohrdlý
jastrab gaštanový
jastrab tachiro
kosierkár veľký
kosierkár oblozobý
kosierkár drobný
kosierkár malý
hodvábnička zelenkavá
hodvábnička hrdzavo-čierna
hodvábnička papuánska
hodvábnička maľovaná
hodvábnička okrovolíca
hodvábnička bledozobá
nektárovka pôvabná
nektárovka pláštiková
nektárovka vidlochvostá
nektárovka vznešená
nektárovka bieloboká
nektárovka ohnivoprsá
nektárovka modrochvostá
nektárovka hnedkavochrbtá
nektárovka ohnivochvostá
nektárovka zlatá
nektárovka malebná
nektárovka jávska
nektárovka zelenochvostá
nektárovka sivokuklá
nektárovka filipínska
nektárovka čiernohrdlá
nektárovka čarovná
nektárovka siparadža
nektárovka červená
nektárovka chvostnatá
nektárovka šarlátová
Delicate Spiny Reed Frog
Brown Banana Frog
Fornasini's Spiny Reed Frog
Banded Banana Frog
Banana Serotine
páv pralesný
drop čiernokrídly
drop bielosluchý
Red-eyed Tree Frog
Mexican Giant Tree Frog
agámia pestrá
agapornis sivý
agapornis akáciový
agapornis Lilianov
agapornis čiernolíci
agapornis pestrý
agapornis červenohlavý
agapornis ružovohrdlý
agapornis zelenohlavý
agapornis tmavokrídly
vlhovec hnedý
vlhovec plavý
vlhovec kubánsky
vlhovec hnedokrídly
vlhovec červenokrídly
vlhovec trojfarebný
vlhovec lagúnový
perlička červenohlavá
perlička čierna
vlhovec jednofarebný
vlhovec bahenný
vlhovec bledooký
andárik purpurový
andárik ambróziový
andárik škoricový
andárik čiernohlavý
vrchárik venezuelský
vrchárik fialovec
vrchárik zelený
Ovate Shieldback
horniačka šarlátová
muchár plavý
muchár bledý
pamuchár bielochvostý
pamuchár mero
pamuchár hákozobý
pamuchár horský
pamuchár myšací
škorec hnedosluchý
škorec škvrnotylový
šiatorník bielosluchý
šiatorník zelený
šiatorník svetlohlavý
šiatorník sivohrdlý
šiatorník tmavosluchý
šiatorník čiapočkatý
panda veľká
strnádlik čiernozobý
strnádlik hrdzavý
strnádlik skalný
kačička mandarínska
kačička obojková
havajčan dlhozobý
havajčan sivožltý
havajčan srpozobý
havajčan olivový
mravcovka červenooká
mravcovka smútočná
behuľa dlhozobá
behuľa krátkozobá
škovránok poľný
škovránok krátkochvostý
škovránok bielokrídly
škovránok ostrovný
škovránok ázijský
škovránok Heineho
škovránok retal
škovránok malý
škovránok okuliarnatý
alka vrúbkozobá
rybárik riečny
rybárik mangrovový
rybárik modroprsý
rybárik veľký
rybárik lesný
rybárik tmavokrídly
rybárik lesklý
rybárik tyrkysový
Bubale
Los mokraďový
alkipa družná
alkipa Davidova
alkipa plavobruchá
alkipa stužkatá
alkipa mandarínska
alkipa sivolíca
alkipa hrdzavochrbtá
alkipa hôrna
alkipa hnedolíca
alkipa jávska
bylbyl čiarkový
schovánok žltobradý
kuropta skalná
kuropta čukar
kuropta horská
kuropta čínska
kuropta čiernohlavá
kuropta púšťová
kuropta červená
pestroš modrý
pestroš maurícijský
pestroš bradavičiar
pestroš kapucňový
pamuchár vlajkochvostý
pamuchár kohútí
tabon morkovitý
Floury Baker
aleta ohnivohlavá
aleta korunkatá
amazoňan žltobruchý
kráľčik molucký
kráľčik zelenokrídly
kráľčik červenohlavý
alkovec drobný
drozdec šupinatý
Allen's Swamp Monkey
Aligátor severoamerický
Spotted-thighed Poison Frog
Striped Rocket Frog
Allard's Ground Cricket
Striped Ground Cricket
Gray Ground Cricket
Choctaw ground cricket
Southern Ground Cricket
Salt-Marsh Ground Cricket
Tinkling Ground Cricket
Walker's Ground Cricket
bylbyl bres
bylbyl hnedochochlatý
bylbyl hnedooký
bylbyl okrový
bylbyl sivolíci
bylbyl zlatý
bylbyl ragum
bylbyl olivovoprsý
lastovička savanová
húska štíhla
húska réunionská
húska maurícijská
Ursine Howler Monkey
Red-handed Howler Monkey
Black-and-gold Howler Monkey
Spix's Red-handed Howler Monkey
Brown Howler Monkey
Guianan Red Howler Monkey
Mantled Howler Monkey
Yucatán Black Howler Monkey
Bolivian Red Howler Monkey
Colombian Red Howler Monkey
Maranhao Red-handed Howler Monkey
Catalonian Midwife Toad
Iberian Midwife Toad
Common Midwife Toad
amadina červenohlavá
amadina pásikavá
pitovec malý
pitovec veľký
amandava bodkovaná
amandava olivová
amandava zlatoprska
chriašteľ jednofarebný
kohútec ryžový
kohútec tmavobruchý
kohútec nočný
kohútec olivový
kohútec bieloprsý
pápežík ekvádorský
pápežík bambusový
pápežík smútočný
pápežík tmavý
kolibrík honduraský
kolibrík škoricový
kolibrík hrdzavochvostý
kolibrík hnedastobruchý
kolibrík hájový
amazoňan modročelý
amazoňan červenokrídly
amazoňan bieločelý
amazoňan kurika
amazoňan červenokrký
amazoňan žltotylový
amazoňan žltolíci
amazoňan žltočelý
amazoňan červenochvostý
amazoňan žltozobý
amazoňan čelenkový
amazoňan tmavozobý
amazoňan džungľový
amazoňan modrobradý
amazoňan fialovohlavý
amazoňan kráľovský
amazoňan cisársky
amazoňan bielolíci
amazoňan bielohlavý
amazoňan ekvádorský
amazoňan zelený
amazoňan štvorfarebný
amazoňan žltohlavý
amazoňan okuliarnatý
amazoňan belavolíci
amazoňan nádherný
amazoňan korunkatý
amazoňan pestrý
amazoňan vínovoprsý
amazoňan červenočelý
amazoňan belasokrídly
amazoňan belizský
kačica amazoňanka
čašovec žltozobý
Clicker Round-winged Katydid
Florida Oblong-winged Katydid
Texas false katydid
Oblong-winged Katydid
Rattler Round-winged Katydid
záhradkár zlatočelý
záhradkár bezchochlatý
záhradkár zlatochochlatý
záhradkár ohnivochochlatý
zobanka hrubozobá
vlhovec šarlátový
Three-striped Poison Frog
Common River Frog
Cape River Frog
Poynton's River Frog
škovránok vrchovinový
škovránok obojkový
škovránok klopačkový
strnádlik prieložný
strnádlik úhorový
strnádlik savanový
škovránok púštny
škovránok bledý
škovránok hrdzavý
škovránok štrkový
pralesníček sivobruchý
čiľ sivokrký
čiľ piesočný
Harris' Antelope Squirrel
Texas Antelope Squirrel
White-tailed Antelope Squirrel
Nelson's Antelope Squirrel
strnádlik pobrežný
strnádlik lúčny
strnádlik prímorský
strnádlik mokrinový
paovca hrivnatá
majna korunkatá
ovociar šupinatý
chocholiar červenohrivý
chocholiar hnedohrivý
mravcovka sivohlavá
Clapping Cicada
Chirping Cicada
Chorus Cicada
strnádlik čiernohrdlý
strnádlik päťpásy
zamatovec trávový
zamatovec mokrinový
zamatovec hrdzavý
zamatovec hrubozobý
zamatovec tmavý
zamatovec krátkochvostý
zamatovec nížinný
zamatovec bielobruchý
zamatovec skalný
zamatovec spinifexový
zamatovec čiarkový
zamatovec piesočný
zamatovec okrový
zamatovec bielohrdlý
lístiar stužkatý
lístiar okrový
lístiar červenochvostý
lístiar okuliarnatý
lístiar vločkatohrdlý
nektárovka plantážová
nektárovka žltoprsá
nektárovka palmová
lístiar bambusový
lístiar bielokrký
Mormon Cricket
čelenkár peruánsky
čelenkár ostrovný
čelenkár žltozobý
čelenkár čiernochochlatý
čelenkár sýkorčí
čelenkár rožkatý
pletiarka červená
pletiarka červenohlavá
Golden Emperor
kulík morský
kulík andský
kulík palinový
kulík himalájsky
kulík ozdobný
kulík obojkový
kulík bielolíci
kulík dvojpásy
kulík krivozobý
kulík jávsky
kulík veľkozobý
kulík bieločelý
kulík krátkozobý
kulík horský
kulík snežný
kulík maorský
kulík slanovodný
kulík pastiersky
kulík plážový
kulík hrdzavohlavý
kulík ostrovný
kulík okrovobruchý
kulík podkovár
kulík hrubozobý
kačica ostrochvostá
kačica bielohrdlá
kačica andská
kačica nelietavá
kačica bielolíca
kačica červenonohá
kačica ružovozobá
kačica gaštanová
kačica hnedá
kačica chrapka
kačica mexická
kačica kerguelenská
kačica červenozobá
kačica žltozobá
kačica pobrežná
kačica jazerná
kačica hrbočelá
kačica svetlobradá
kačica laysanská
kačica plavá
kačica madagaskarská
kačica ostrovná
kačica divá
kačica pestrozobá
kačica černastá
kačica tmavá
kačica pruhohlavá
kačica maurícijská
kačica šupinatá
kačica havajská
kačica čínska
škározobec tmavý
škározobec driemavý
Madras Treeshrew
Chirping Trig
Say's Trig
Fulton's Trig
Pink-spotted Trig
Fast-tinkling Trig
Slow-tinkling Trig
Spring Trig
American Toad
Western Toad
Great Plains Toad
Chihuahuan Green Toad
Fowler's Toad
Canadian Toad
Red-spotted Toad
Oak Toad
Texas Toad
Southern Toad
Woodhouse's Toad
lístiar háčikozobý
tukaník kapucňový
tukaník tmavý
tukaník horský
tukaník čiernozobý
Andean Poison Frog
jagavička fŕkaná
afrobyl bledooký
plieskač zelenkavý
Angustitrella roosevelti
anhima rohatá
anhinga jarabá
anhinga tmavobruchá
anhinga austrálska
anhinga hrdzavokrká
tangara červenobruchá
tangara škvrnohlavá
tangara čiernolíca
tangara zlatobruchá
tangara modrokrídla
ara sivá
ara hyacintová
ara kobaltová
kukučiarka žltá
slnečníček tupochvostý
zobákorožec bledohrdlý
zobákorožec parochňový
zobákorožec hnedý
nody sivý
nody modrý
nody bielohlavý
nody hnedý
nody tenkozobý
hus bieločelá
hus divá
hus krátkozobá
hus snežná
hus bielohlavá
hus labutia
hus malá
hus siatinná
hus vrchovská
hus snežnička
hus tundrová
husiarka strakatá
Nornalup Frog
Yellow-footed Antechinus
niltava bielohrdlá
niltava okuliarnatá
nektárovka zlatoprsá
kolibrík čiapočkár
kolibrík kvetohlavý
medárik bradavičnatý
medárik úhorový
medárik kočovný
medárik veľký
medárik kováčsky
medárik chathamský
medárik makomako
kúdeľníčka sivá
kúdeľníčka zlatočelá
kúdeľníčka sivohlavá
kúdeľníčka myšacia
kúdeľníčka žltá
kúdeľníčka savanová
zobákorožec bledozobý
zobákorožec strakatý
zobákorožec čierny
zobákorožec palawanský
zobákorožec talusi
jagavička portorická
jagavička antilská
jagavička čiernobruchá
jagavička čiernohrdlá
jagavička zelenoprsá
jagavička panamská
jagavička zelenohrdlá
jagavička smaragdová
nektárovka pestrobruchá
nektárovka zelenokrídla
nektárovka hnedá
nektárovka sivohrdlá
nektárovka fialová
nektárovka kokosová
nektárovka prímorská
nektárovka savanová
nektárovka priamozobá
nektárovka tmavohrdlá
nektárovka červenohrdlá
nektárovka červenopruhá
nektárovka zelenkavá
nektárovka tmavočelá
nektárovka sivobradá
ľabtuška olivová
ľabtuška zemná
ľabtuška ostrovná
ľabtuška andská
ľabtuška krátkochvostá
ľabtuška bielobruchá
ľabtuška krovinová
ľabtuška poľná
ľabtuška červenohrdlá
ľabtuška pampová
ľabtuška savanová
ľabtuška africká
ľabtuška korendera
ľabtuška kameniarka
ľabtuška krátkozobá
ľabtuška Godlewského
ľabtuška bielopása
ľabtuška okuliarnatá
ľabtuška škoricová
ľabtuška škvrnitá
ľabtuška hôľna
ľabtuška sibírska
ľabtuška hnedochrbtá
ľabtuška tmavolíca
ľabtuška pobrežná
ľabtuška okrovoprsá
ľabtuška pustatinná
ľabtuška plantážová
ľabtuška dlhoprstá
ľabtuška lesná
ľabtuška dlhonohá
ľabtuška peruánska
ľabtuška skalná
ľabtuška lúčna
ľabtuška veľká
ľabtuška ružová
ľabtuška okrová
ľabtuška madanga
ľabtuška ryžová
ľabtuška dlhozobá
ľabtuška ozdobná
ľabtuška vrchovská
ľabtuška prériová
