common_name_sl







brezovček




















skobec



















žalostna majna







plevelna trstnica
rakar




zelenortska trstnica


robidna trstnica


dolgokljuni rakar




tamariskovka




orientalski rakar

povodna trstnica
močvirska trstnica





bičja trstnica
srpična trstnica


kričavi rakar









brkati gozdomec
žvižgajoči gozdomec
gorski gozdomec
pegasti gozdomec
samotarski gozdomec
luskasti gozdomec









mali martinec
ameriški mali martinec











dolgorepka












koconogi čuk













rjavi jastreb
progasta tukalica



































čopasti alk
topokljuni alk





















































rdečeperuti škorčevec
























davrijski škorec










mandarinka
nevestica






srpasti škrjanec

poljski škrjanec
orientalski škrjanec
beloperuti kalander
zelenortski škrjanec
stepski škrjanček


mali škrjanček

njorka
vodomec
sinji vodomec
gozdni vodomec
veliki vodomec
mangrovski vodomec

bleščeči vodomec
turkizni vodomec














afriška kotorna
turška kotorna
kotorna



španska kotorna














rakovičar






















nilska gos




















rdeči bengalček








































































progastorepi škrjanec
puščavski škrjanec



perzijska peščena jerebica
peščena jerebica





















































beločeli deževnik

kaspijski deževnik







debelokljuni deževnik

mongolski deževnik




pritlikavi deževnik






dolgorepa raca





kapska raca


kreheljc


rdečekljuna raca









mlakarica

temna mlakarica







































afriški kačjevratnik

















sajasti nodi
rjavi nodi

beločela gos
siva gos
kratkokljuna gos
snežna gos


mala gos
njivska gos
tibetanska gos
mala snežna gos




















































kanarska cipa




rjava cipa
rdečegrla cipa






mongolska cipa
tundrica


gozdna cipa












obalna vriskarica
travniška cipa
ostrožna cipa

ameriška vriskarica


dolgokljuna cipa

vriskarica


drevesna cipa


kanadski žerjav





















































































































mali hudournik
zelenortski hudournik
hudournik





gibraltarski hudournik





daljnovzhodni hudournik
bledi hudournik

enobarvni hudournik
španski kraljevi orel


planinski orel
kragulji orel

