species_code,com_name,class_name
emchum1,Emerald-chinned Hummingbird,aves
rufwar1,Rufous-faced Warbler,aves
blfwar1,Black-faced Warbler,aves
yebwar1,Yellow-bellied Warbler,aves
watgua1,Wattled Guan,aves
spchon1,Spiny-cheeked Honeyeater,aves
pebfin1,Peg-billed Finch,aves
redpol1,Redpoll,aves
riflem1,Rifleman,aves
inltho1,Inland Thornbill,aves
yertho1,Yellow-rumped Thornbill,aves
mouger1,Gray Thornbill,aves
tastho1,Tasmanian Thornbill,aves
westho1,Western Thornbill,aves
slbtho2,Slender-billed Thornbill,aves
moutho1,Mountain Thornbill,aves
strtho1,Striated Thornbill,aves
paptho1,Papuan Thornbill,aves
yeltho1,Yellow Thornbill,aves
brotho1,Brown Thornbill,aves
burtho1,Buff-rumped Thornbill,aves
slbtho1,Slaty-backed Thornbill,aves
chrtho1,Chestnut-rumped Thornbill,aves
wesspi1,Western Spinebill,aves
easspi1,Eastern Spinebill,aves
scrubt2,Scrubtit,aves
1463115,Acanthoventris drewseni,insecta
madspa1,Madagascar Sparrowhawk,aves
eurspa1,Eurasian Sparrowhawk,aves
ovaspa2,Ovambo Sparrowhawk,aves
gybhaw1,Gray-bellied Hawk,aves
rucspa2,Rufous-breasted Sparrowhawk,aves
shshaw,Sharp-shinned Hawk,aves
runhor1,Rufous-necked Hornbill,aves
damroc1,Rockrunner,aves
133220,House Cricket,insecta
917175,Spanish House-Cricket,insecta
41955,Cheetah,mammalia
colmyn1,Collared Myna,aves
vibsta1,Burmese Myna,aves
pabmyn1,Pale-bellied Myna,aves
cremyn,Crested Myna,aves
junmyn1,Jungle Myna,aves
banmyn1,Bank Myna,aves
whvmyn1,Great Myna,aves
whvmyn,Javan Myna,aves
vibsta4,Vinous-breasted Myna,aves
bkwsta1,Black-winged Myna,aves
commyn,Common Myna,aves
70421,Blanchard's Cricket Frog,amphibia
24230,Northern Cricket Frog,amphibia
24233,Southern Cricket Frog,amphibia
yebbul3,Yellow-browed Bulbul,aves
42715,Narrow-toed Feather-tailed Glider,mammalia
pilgra1,Pink-legged Graveteiro,aves
chiwar1,Kiritimati Reed Warbler,aves
padwar1,Paddyfield Warbler,aves
grrwar1,Great Reed Warbler,aves
manrew2,Mangareva Reed Warbler,aves
turwar1,Tuamotu Reed Warbler,aves
aurwar1,Australian Reed Warbler,aves
bbrwar1,Black-browed Reed Warbler,aves
cvswar1,Cape Verde Swamp Warbler,aves
tahrew1,Tahiti Reed Warbler,aves
blwwar1,Blunt-winged Warbler,aves
blrwar1,Blyth's Reed Warbler,aves
miller,Millerbird,aves
leswar1,Lesser Swamp Warbler,aves
barwar2,Basra Reed Warbler,aves
sairew1,Saipan Reed Warbler,aves
cirwar2,Cook Islands Reed Warbler,aves
moorew1,Moorea Reed Warbler,aves
nigrew1,Nightingale Reed Warbler,aves
mouwar1,Moustached Warbler,aves
marwar2,Southern Marquesan Reed Warbler,aves
soirew1,Society Islands Reed Warbler,aves
maswar1,Madagascar Swamp Warbler,aves
agurew1,Aguiguan Reed Warbler,aves
orrwar1,Oriental Reed Warbler,aves
labrew1,Large-billed Reed Warbler,aves
aquwar1,Aquatic Warbler,aves
marwar3,Marsh Warbler,aves
marrew2,Northern Marquesan Reed Warbler,aves
narwar1,Nauru Reed Warbler,aves
rimrew1,Rimatara Reed Warbler,aves
rodbrw1,Rodrigues Warbler,aves
grswar2,Greater Swamp Warbler,aves
sedwar1,Sedge Warbler,aves
eurwar1,Common Reed Warbler,aves
sebwar1,Seychelles Warbler,aves
strwar1,Streaked Reed Warbler,aves
clrwar1,Clamorous Reed Warbler,aves
carrew1,Caroline Reed Warbler,aves
hirwar1,Henderson Island Reed Warbler,aves
manrew1,Manchurian Reed Warbler,aves
pirwar2,Pitcairn Reed Warbler,aves
pagrew1,Pagan Reed Warbler,aves
roltyr3,Rough-legged Tyrannulet,aves
roltyr1,White-fronted Tyrannulet,aves
ocetap1,Ocellated Tapaculo,aves
vulgui1,Vulturine Guineafowl,aves
moukin2,Moustached Kingfisher,aves
ruckin1,Rufous-collared Kingfisher,aves
blckin2,Blue-capped Kingfisher,aves
spokin1,Spotted Kingfisher,aves
grbkin1,Green-backed Kingfisher,aves
scakin1,Scaly-breasted Kingfisher,aves
blwmin1,Blue-winged Minla,aves
rufbar1,Rusty-fronted Barwing,aves
taibar1,Taiwan Barwing,aves
hotbar1,Hoary-throated Barwing,aves
spebar1,Spectacled Barwing,aves
bkcbar1,Black-crowned Barwing,aves
strbar1,Streaked Barwing,aves
chtmin1,Chestnut-tailed Minla,aves
sttbar1,Streak-throated Barwing,aves
comsan,Common Sandpiper,aves
sposan,Spotted Sandpiper,aves
afrjac1,African Jacana,aves
madjac1,Madagascar Jacana,aves
spehum1,Speckled Hummingbird,aves
22084,Tusked Frog,amphibia
135011,Cocha Chirping Frog,amphibia
135012,Paraná Tropical Bullfrog,amphibia
135018,Forest Chirping Frog,amphibia
135020,Marbled Tropical Bullfrog,amphibia
