idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
0,Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,aves,Smaragdkehlkolibri,Colibrí de Abeillé,zielaczek,Colibri d'Abeillé,Smaragdkeelkolibrie,Изумрудогорлый колибри,コバシハチドリ,kolibřík smaragdovohrdlý,colibrí d'Abeillé,colibri-de-garganta-esmeralda,smaragdstrupekolibri,Смарагдовогушо колибри,smaragdstrupe,Smaragdstrube,Abeille Kolibrisi,kolibrík zelenobradý,Smaragdnobradi kolibri,Колібрі малахітовий,翠颏蜂鸟,viherleukakolibri,Colibrí de Abeillé,Colibrí Pico Corto,Colibrí de Abeillé,Emerald-chinned hummingbird,kratkokljuni kolibrić,Abeilija,مگسمرغ زمردچانه,Sïedn gên emrallt,smaragdkurk-koolibri,Colibrì mentosmeraldo,翠頦蜂鳥,smeraldmentona kolibro,,,,,,Kolibri dagu-zamrud,,,,,,,,,,
1,Abroscopus albogularis,Rufous-faced Warbler,rufwar1,aves,Rostwangen-Dickichtsänger,Mosquitero Carirrufo,skrytoczub rdzawolicy,Bouscarle à moustaches,Roodwangboszanger,Рыжещёкая комарница,コシジロムシクイ,budníček rezavolící,abròscop cara-roig,felosa-de-faces-ruivas,rustmaskesanger,Ръждиволик певец,rostkindad cettia,Brunmasket Sanger,Kızıl Yüzlü Ötleğen,pradešan červenolíci,Rumenolika grmuša,Війчик рудощокий,棕脸鹟莺,pikkulehväkerttu,Mosquitero carirrufo,Mosquitero Carirrufo,Mosquitero Carirrufo,Rufous-faced warbler,riđolica svilorepa,Rudaveidė raštuotoji musinukė,سسک صورتحنایی,Gwybedog-delor gyddfwyn,pisi-rädilind,Luì facciarossiccia,棕面鶲鶯〔棕臉鶲鶯〕,rufmaska ĉetio,,,,,,,,,,,,,,,นกกระจ้อยคอดำ,
2,Abroscopus schisticeps,Black-faced Warbler,blfwar1,aves,Schieferkopf-Dickichtsänger,Mosquitero Carinegro,skrytoczub ciemnolicy,Bouscarle à face noire,Zwartmaskerboszanger,Чернолицая комарница,カオグロムシクイ,budníček černolící,abròscop emmascarat,felosa-de-faces-pretas,svartmaskesanger,Чернолик певец,svartkindad cettia,Sortmasket Sanger,Siyah Yüzlü Ötleğen,pradešan čiernolíci,Crnolika grmuša,Війчик чорнощокий,黑脸鹟莺,naamiolehväkerttu,Mosquitero carinegro,Mosquitero Carinegro,Mosquitero Carinegro,Black-faced warbler,crnolica svilorepa,Juodaveidė raštuotoji musinukė,سسک روسیاه,Gwybedog-delor wynebddu,mustpõsk-rädilind,Luì faccianera,黑臉鶲鶯,nigramaska ĉetio,,,,,,,,,,,,,,,,
3,Abroscopus superciliaris,Yellow-bellied Warbler,yebwar1,aves,Bambusdickichtsänger,Mosquitero Cejiblanco,skrytoczub białobrewy,Bouscarle à sourcils blancs,Bamboeboszanger,Желтобрюхая комарница,マミジロムシクイ,budníček šedokorunkatý,abròscop cellablanc,felosa-do-bambu,hvitbrynsanger,Жълтокорем певец,gulbukig cettia,Gulbuget Sanger,Sarı Karınlı Ötleğen,pradešan bambusový,Žutotrba grmuša,Війчик білобровий,黄腹鹟莺,bambulehväkerttu,Mosquitero cejiblanco,Mosquitero Cejiblanco,Mosquitero Cejiblanco,Yellow-bellied warbler,žutotrba svilorepa,Geltonpilvė raštuotoji musinukė,سسک شکمزرد,Gwybedog-delor torfelyn,bambuse-rädilind,Luì panciagialla,黃腹鶲鶯,blankbrova ĉetio,,,,,,Cikrak bambu,,,,,,,,,นกกระจ้อยคอขาว,
4,Aburria aburri,Wattled Guan,watgua1,aves,Lappenguan,Pava Aburria,grdacz soplowaty,Pénélope aburri,Lelgoean,Серёжчатый гуан,ニクダレシャクケイ,guan aburri,guan camagroc,guano-carunculado,gulflikhokko,Голям черен гуан,flikguan,Lappepenelopehøne,Küpeli Guan,morkovec lalôčkový,Resasti guan,Абурі,肉垂冠雉,helttasaku,Pava aburria,Pava Aburria,Pava Carunculada (Aburrida),Wattled guan,plavokljuni guan,Aburija,شبخروش غبغبکی,Gwân tagellog,sireenhoko,Guan dal bargiglio,肉垂鳴冠雉,karunkla penelopo,lebenyes guán,,,,,,,,,,,,,,,
5,Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,aves,Braunkehl-Honigfresser,Mielero Golicanelo,kolcoliczek,Méliphage à bavette,Goudkeelhoningeter,Розовоклювый серёжкоух,ケミミミツスイ,medosavka modrooká,menjamel galtaespinós,papa-mel-de-faces-espinhosas,rosennebbhonningeter,Ръждивогуш медояд,rosanäbbad honungsfågel,Grågumpet Honningæder,Diken Yanaklı Balkuşu,medárik hnedohrdlý,Oštrobrki medojed,Медолюб-дзвіночок,刺颊垂蜜鸟,mustapyrstömesikko,Mielero golicanelo,Mielero Golicanelo,Mielero Golicanelo,Spiny-cheeked honeyeater,ružičastokljuni medojed,margasis medsiurbys,عسلخوار چانهخاردار,Melysor barfog,Spiny-cheeked Honeyeater,Succiamiele guancespinose,刺頰垂蜜鳥,dornvanga mielmanĝulo,vöröstorkú mézevő,,,,,,,,,,,,,,,
6,Acanthidops bairdi,Peg-billed Finch,pebfin1,aves,Vulkanammertangare,Yal Costarricense,bambusozięb ostrodzioby,Bec-en-cheville gris,Wigsnavelgors,Остроклювый овсяночник,ハシナガシトド,pěnkavka Bairdova,frigil becfí,tentilhão-de-bico-pontiagudo,spissnebbspurv,Тънкоклюна чинкова танагра,spetsnäbbad tangara,Spidsnæbbet Finke,Sivri Gagalı İspinoz,pinkavka sivá,Šiljokljuna zeba,Шиферка гостродзьоба,尖嘴雀鹀,kiilanokkasirkku,Yal costarricense,Yal Costarricense,Yal Costarricense,Peg-billed finch,klinastokljuni sjemenar,smailiasnapė starta,سهره نوکمیخی,Pila Baird,Peg-billed Finch,Fringuello becco a piolo,釘嘴雀,akrabeka fringotangaro,hegyescsőrű sármánypinty,,,,,,,,,,,,,,,
7,Acanthis flammea,Redpoll,redpol1,aves,Birkenzeisig,Pardillo Sizerín,czeczotka,Sizerin flammé,Barmsijs,Чечётка,ベニヒワ,čečetka zimní,passerell gorjanegre septentrional,pintarroxo-de-queixo-preto,gråsisik,Брезова скатия,gråsiska,Gråsisken,Huş İsketesi,stehlík čečetka,Juričica,Чечітка звичайна,白腰朱顶雀,urpiainen,Pardillo sizerín,Pardillo Sizerín,Pardillo Sizerín,Pintarroxo-de-queixo-preto,sjeverna juričica,Paprastasis čimčiakas,زلفقرمزی معمولی,Llinos bengoch gyffredin,urvalind,Organetto,普通朱頂雀〔白腰朱頂雀〕,ordinara flamkardelo,zsezse,Inăriţă,brezovček,parastais ķeģis,Auðnutittlingur,,Σημυδόσπιζα,огнено конопјарче,Звычайная чачотка,,Ummolcizáš,홍방울새,תפוחית שחורת-סנטר,,,
8,Acanthisitta chloris,Rifleman,riflem1,aves,Grünstummelschwanz,Acantisita Verdoso,barglik,Xénique grimpeur,Geweervogel,Зелёный стрелок,ミドリイワサザイ,pokřovník zelený,acantisita bec d'alena,carriça-neozelandesa-verde,skogklatresmett,Зелено новозеландско орехче,klättersmyg,Klatresmutte,Nişancı,striežik zelenkavý,Carić puškar,Стрілець,刺鹩,metsävilistäjä,Acantisita verdoso,Acantisita Verdoso,Acantisita Verdoso,Rifleman,šumski palčac,Žalioji pita,تفنگچی (پرنده),Reifflwr,õõne-nürisaba,Fuciliere,刺鷯,verda akantisito,álcsuszka,,,,,,,,,,,,,,,
9,Acanthiza apicalis,Inland Thornbill,inltho1,aves,Stelzschwanz-Dornschnabel,Acantiza Apical,buszówka szerokosterna,Acanthize troglodyte,Roodstuitdoornsnavel,Пестрогрудая шипоклювка,ヒロオトゲハシムシクイ,střízlíkovec australský,acantiza caragolet,acantiza-de-cauda-castanha,krattornsmett,Пъстрогуш шипоклюн певец,inlandstaggnäbb,Bredhalet Mejsesanger,Al Gözlü Dikengaga,ostrozobka hnedochvostá,Australijska trnokljunka,Шиподзьоб широкохвостий,宽尾刺嘴莺,vipeväotsamaluri,Acantiza apical,Acantiza Apical,Acantiza Apical,Inland thornbill,pjegavočela trnokljunka,Plačiauodegis spygliasnapis,نوکخاری دمپهن,Dreinbig y canoldir,mallee-sirilind,Beccospino interno,內陸刺嘴鶯,larĝvosta akantizo,,,,,,,,,,,,,,,,
